id,name,type,description,rarity,defense,resistance,series,skills,slots
"ARMOR_ID_0001","希望面具","helm","为调查东部地区而特别制作的头部防具。面具可以阻挡沙尘，同时还不会影响呼吸。","1","2","[1,0,1,0,0]","希望","HunterSkill_086,1","0,0,0"
"ARMOR_ID_0002","希望铠甲","body","为调查东部地区而特别制作的身体防具。为了能在任何环境下狩猎，设计上下了一番苦工。","1","2","[1,0,1,0,0]","希望","HunterSkill_068,1","0,0,0"
"ARMOR_ID_0003","希望腕甲","arm","为调查东部地区而特别制作的臂部防具。指尖部分较薄且富有弹性，适合进行精密操作。","1","2","[1,0,1,0,0]","希望","HunterSkill_068,1","0,0,0"
"ARMOR_ID_0004","希望腰甲","waist","为调查东部地区而特别制作的腰部防具。经过反复调整，装入的道具可以轻松取出。","1","2","[1,0,1,0,0]","希望","HunterSkill_086,1","0,0,0"
"ARMOR_ID_0005","希望护腿","leg","为调查东部地区而特别制作的脚部防具。其结构经过仔细调整，能走遍各种地形。","1","2","[1,0,1,0,0]","希望","HunterSkill_068,1","0,0,0"
"ARMOR_ID_0006","皮制头饰","helm","以加工后的怪物皮制作而成的头部防具。任何人皆可装备，通用性高。","1","2","[2,0,0,0,0]","皮制","HunterSkill_089,1","0,0,0"
"ARMOR_ID_0007","皮制服饰","body","部分镶嵌了加工怪物皮的身体防具。采用了可轻松穿脱的简易设计。","1","2","[2,0,0,0,0]","皮制","HunterSkill_089,1","0,0,0"
"ARMOR_ID_0008","皮制手套","arm","部分镶嵌了加工怪物皮的臂部防具。虽轻巧但具有十足的防护性。","1","2","[2,0,0,0,0]","皮制","HunterSkill_105,1","0,0,0"
"ARMOR_ID_0009","皮制腰带","waist","部分镶嵌了加工怪物皮的腰部防具。功能性极佳，广受猎人们喜爱。","1","2","[2,0,0,0,0]","皮制","HunterSkill_089,1","0,0,0"
"ARMOR_ID_0010","皮制长裤","leg","部分镶嵌了加工怪物皮的脚部防具。穿得越久越合脚。","1","2","[2,0,0,0,0]","皮制","HunterSkill_089,1","0,0,0"
"ARMOR_ID_0011","锁甲头饰","helm","以铁链编织而成的头部防具。以极为常见的头盔样式，深受猎人们的信赖。","1","2","[0,2,0,0,0]","锁甲","HunterSkill_090,1","0,0,0"
"ARMOR_ID_0012","锁甲服饰","body","以铁链编织而成的身体防具。兼具功能性及防护性的传统铠甲。","1","2","[0,2,0,0,0]","锁甲","HunterSkill_090,1","0,0,0"
"ARMOR_ID_0013","锁甲手套","arm","以铁链编织而成的臂部防具。因使用方便，修理容易，而广受推崇。","1","2","[0,2,0,0,0]","锁甲","HunterSkill_090,1","0,0,0"
"ARMOR_ID_0014","锁甲腰带","waist","以铁链编织而成的腰部防具。混合各种不同素材，极力减少重量制作而成的装备。","1","2","[0,2,0,0,0]","锁甲","HunterSkill_070,1","0,0,0"
"ARMOR_ID_0015","锁甲长裤","leg","以铁链编织而成的脚部防具。铁链的编织方式经过改良，使脚部活动不受阻碍。","1","2","[0,2,0,0,0]","锁甲","HunterSkill_070,1","0,0,0"
"ARMOR_ID_0016","骨制头盔","helm","以怪物骸骨制作的传统头部防具。虽其貌不扬，但保暖性优异。","1","4","[2,0,2,0,2]","骨制","HunterSkill_024,1","0,0,0"
"ARMOR_ID_0017","骨制铠甲","body","以怪物骸骨包覆的传统身体防具。精致骨饰的设计非常独特。","1","4","[2,0,2,0,2]","骨制","HunterSkill_024,1","0,0,0"
"ARMOR_ID_0018","骨制腕甲","arm","以怪物骸骨包覆的传统臂部防具。以多种形状的骸骨巧妙搭配。","1","4","[2,0,2,0,2]","骨制","HunterSkill_086,1","0,0,0"
"ARMOR_ID_0019","骨制腰甲","waist","以怪物骸骨包覆的传统腰部防具。虽具野性的外观，但功能性良好。","1","4","[2,0,2,0,2]","骨制","HunterSkill_024,1","0,0,0"
"ARMOR_ID_0020","骨制护腿","leg","以怪物骸骨包覆的传统脚部防具。以骸骨作为素材，利于步行，不造成负担的防具。","1","4","[2,0,2,0,2]","骨制","HunterSkill_086,1","0,0,0"
"ARMOR_ID_0021","血盗虫眼镜","helm","使用血盗虫素材制作的头部防具。采用最新设计，深受时尚猎人的喜爱。","1","4","[-4,1,1,-2,4]","血盗虫","HunterSkill_162,1,HunterSkill_137,1","0,0,0"
"ARMOR_ID_0022","钳速龙腕甲","arm","使用钳速龙素材制作的臂部防具。前臂上的突起容易勾到东西，装备和收纳时都要倍加小心。","1","4","[4,-2,-2,-2,2]","钳速龙","HunterSkill_164,1,HunterSkill_106,1","0,0,0"
"ARMOR_ID_0023","缠蛙头盔","helm","使用缠蛙素材制作的头部防具。采用了适合在沙漠活动的设计。","1","6","[1,2,-3,-1,1]","缠蛙","HunterSkill_164,1,HunterSkill_071,1","0,0,0"
"ARMOR_ID_0024","缠蛙铠甲","body","使用缠蛙素材制作的身体防具。颈部特别采用了富有弹性的素材。","1","6","[1,2,-3,-1,1]","缠蛙","HunterSkill_164,1,HunterSkill_071,1","0,0,0"
"ARMOR_ID_0025","缠蛙腕甲","arm","使用缠蛙素材制作的臂部防具。构造上强化了手腕的防护，并兼顾了使用武器时的灵活度。","1","6","[1,2,-3,-1,1]","缠蛙","HunterSkill_164,1,HunterSkill_097,1","0,0,0"
"ARMOR_ID_0026","缠蛙腰甲","waist","使用缠蛙素材制作的腰部防具。心形的腰包使用了舌头上的皮。","1","6","[1,2,-3,-1,1]","缠蛙","HunterSkill_164,1,HunterSkill_071,1","0,0,0"
"ARMOR_ID_0027","缠蛙护腿","leg","使用缠蛙素材制作的脚部防具。宽松的设计保证腿部能够活动自如。","1","6","[1,2,-3,-1,1]","缠蛙","HunterSkill_164,1,HunterSkill_097,1","0,0,0"
"ARMOR_ID_0028","炎尾龙头盔","helm","使用炎尾龙素材制作的头部防具。大大的羽毛装饰很受猎人的欢迎。","1","6","[2,-3,0,-1,0]","炎尾龙","HunterSkill_166,1,HunterSkill_102,1","0,0,0"
"ARMOR_ID_0029","炎尾龙铠甲","body","使用炎尾龙素材制作的身体防具。虽然是用于仪式的设计，但防御力很高。","1","6","[2,-3,0,-1,0]","炎尾龙","HunterSkill_166,1,HunterSkill_077,1","0,0,0"
"ARMOR_ID_0030","炎尾龙腕甲","arm","使用炎尾龙素材制作的臂部防具。手套的开口很宽，手腕可以大幅度活动。","1","6","[2,-3,0,-1,0]","炎尾龙","HunterSkill_166,1,HunterSkill_102,1","0,0,0"
"ARMOR_ID_0031","炎尾龙腰甲","waist","使用炎尾龙素材制作的腰部防具。波浪形状的裙摆格外时尚。","1","6","[2,-3,0,-1,0]","炎尾龙","HunterSkill_166,1,HunterSkill_077,1","0,0,0"
"ARMOR_ID_0032","炎尾龙护腿","leg","使用炎尾龙素材制作的脚部防具。绑腿活用了素材的质地，能紧束双腿。","1","6","[2,-3,0,-1,0]","炎尾龙","HunterSkill_166,1,HunterSkill_102,1","0,0,0"
"ARMOR_ID_0033","合金头盔","helm","使用上好矿石素材制作的头部防具。虽然造型粗犷，但拥有以实用为主的高防御性能。","1","6","[-2,1,-2,-2,1]","合金","HunterSkill_031,1","0,0,0"
"ARMOR_ID_0034","合金铠甲","body","使用上好矿石素材制作的身体防具。考虑到便于活动，设计上合理地省略了多余装饰。","1","6","[-2,1,-2,-2,1]","合金","HunterSkill_074,1","0,0,0"
"ARMOR_ID_0035","合金腕甲","arm","使用上好矿石素材制作的臂部防具。重视实用性，精练的设计没有半点多余。","1","6","[-2,1,-2,-2,1]","合金","HunterSkill_074,1","0,0,0"
"ARMOR_ID_0036","合金腰甲","waist","使用上好矿石素材制作的腰部防具。融合的矿物色泽以及精心的设计，非常美丽。","1","6","[-2,1,-2,-2,1]","合金","HunterSkill_074,1","0,0,0"
"ARMOR_ID_0037","合金护腿","leg","使用上好矿石素材制作的脚部防具。可以很好地包覆双腿，做工扎实，是极度讲求实用理念的防具。","1","6","[-2,1,-2,-2,1]","合金","HunterSkill_031,1","0,0,0"
"ARMOR_ID_0038","锯带龙护腿","leg","使用锯带龙素材制作的脚部防具。质轻贴身的皮革带来了绝佳的穿着体验。","1","4","[-3,4,-3,1,1]","锯带龙","HunterSkill_164,1,HunterSkill_078,1","0,0,0"
"ARMOR_ID_0039","巨蜂头盔","helm","使用巨蜂素材制作的头部防具。虽然包覆全体的材料不耐火，但外壳非常坚固。","1","4","[-2,1,1,1,2]","巨蜂","HunterSkill_162,1,HunterSkill_134,1","0,0,0"
"ARMOR_ID_0040","巨蜂铠甲","body","使用巨蜂素材制作的身体防具。以秘法加工而成，可承受强力的物理攻击。","1","4","[-2,1,1,1,2]","巨蜂","HunterSkill_162,1,HunterSkill_134,1","0,0,0"
"ARMOR_ID_0041","巨蜂腕甲","arm","使用巨蜂素材制作的臂部防具。实物比看上去更有份量，因此拥有高防御力。","1","4","[-2,1,1,1,2]","巨蜂","HunterSkill_162,1,HunterSkill_084,1","0,0,0"
"ARMOR_ID_0042","巨蜂腰甲","waist","使用巨蜂素材制作的腰部防具。通过解析甲虫种强力个体的构造制作而成。","1","4","[-2,1,1,1,2]","巨蜂","HunterSkill_162,1,HunterSkill_084,1","0,0,0"
"ARMOR_ID_0043","巨蜂护腿","leg","使用巨蜂素材制作的脚部防具。对甲虫种的素材进行集中加工以达到超越外观的硬度。","1","4","[-2,1,1,1,2]","巨蜂","HunterSkill_162,1,HunterSkill_134,1","0,0,0"
"ARMOR_ID_0044","刺花蜘蛛头盔","helm","使用刺花蜘蛛素材制作的头部防具。漂亮的蔷薇由刺花蜘蛛的甲壳加工而成。","1","8","[-3,3,0,0,3]","刺花蜘蛛","HunterSkill_162,1,HunterSkill_084,1","0,0,0"
"ARMOR_ID_0045","刺花蜘蛛铠甲","body","使用刺花蜘蛛素材制作的身体防具。乍一看好似普通的常服，实则覆盖了坚硬的装甲。","1","8","[-3,3,0,0,3]","刺花蜘蛛","HunterSkill_162,1,HunterSkill_084,1","0,0,0"
"ARMOR_ID_0046","刺花蜘蛛腕甲","arm","使用刺花蜘蛛素材制作的臂部防具。非常华丽，甚至可以在正式场合穿着。","1","8","[-3,3,0,0,3]","刺花蜘蛛","HunterSkill_162,1,HunterSkill_069,1","0,0,0"
"ARMOR_ID_0047","刺花蜘蛛腰甲","waist","使用刺花蜘蛛素材制作的腰部防具。高贵的设计令贵族也趋之若鹜。","1","8","[-3,3,0,0,3]","刺花蜘蛛","HunterSkill_162,1,HunterSkill_069,1","0,0,0"
"ARMOR_ID_0048","刺花蜘蛛护腿","leg","使用刺花蜘蛛素材制作的脚部防具。看不见的地方点缀着蔷薇花纹。","1","8","[-3,3,0,0,3]","刺花蜘蛛","HunterSkill_162,1,HunterSkill_069,1","0,0,0"
"ARMOR_ID_0049","桃毛兽王头盔","helm","使用桃毛兽王素材制作的头部防具。粗犷的造型彰显野性。","2","8","[-3,1,1,-1,2]","桃毛兽王","HunterSkill_168,1,HunterSkill_096,1","0,0,0"
"ARMOR_ID_0050","桃毛兽王铠甲","body","使用桃毛兽王素材制作的身体防具。随处点缀的兽毛彰显野性。","2","8","[-3,1,1,-1,2]","桃毛兽王","HunterSkill_168,1,HunterSkill_096,1","0,0,0"
"ARMOR_ID_0051","桃毛兽王腕甲","arm","使用桃毛兽王素材制作的臂部防具。乍看之下做工粗糙，但防御力绝不马虎。","2","8","[-3,1,1,-1,2]","桃毛兽王","HunterSkill_168,1,HunterSkill_122,1","0,0,0"
"ARMOR_ID_0052","桃毛兽王腰甲","waist","使用桃毛兽王素材制作的腰部防具。附带的那一串口袋意外地实用。","2","8","[-3,1,1,-1,2]","桃毛兽王","HunterSkill_168,1,HunterSkill_122,1","0,0,0"
"ARMOR_ID_0053","桃毛兽王护腿","leg","使用桃毛兽王素材制作的脚部防具。狂野的造型很适合驰骋荒野之人。","2","8","[-3,1,1,-1,2]","桃毛兽王","HunterSkill_168,1,HunterSkill_096,1","0,0,0"
"ARMOR_ID_0054","沙海龙头盔","helm","使用沙海龙素材制作的头部防具。粗糙打磨过的凸起正是沙海龙的象征。","2","12","[-1,2,-3,1,1]","沙海龙","HunterSkill_166,1,HunterSkill_105,1","0,0,0"
"ARMOR_ID_0055","沙海龙铠甲","body","使用沙海龙素材制作的身体防具。肩部经过巧妙设计，虽然厚重却不会阻碍行动。","2","12","[-1,2,-3,1,1]","沙海龙","HunterSkill_166,1,HunterSkill_031,1","0,0,0"
"ARMOR_ID_0056","沙海龙腕甲","arm","使用沙海龙素材制作的臂部防具。卷曲排列的棘刺保证了动作的柔韧。","2","12","[-1,2,-3,1,1]","沙海龙","HunterSkill_166,1,HunterSkill_076,1","0,0,0"
"ARMOR_ID_0057","沙海龙腰甲","waist","使用沙海龙素材制作的腰部防具。红色的腰巾令见者无不斗志昂扬。","2","12","[-1,2,-3,1,1]","沙海龙","HunterSkill_166,1,HunterSkill_076,1","0,0,0"
"ARMOR_ID_0058","沙海龙护腿","leg","使用沙海龙素材制作的脚部防具。甲壳被分割成细小零件，以保证行动便利。","2","12","[-1,2,-3,1,1]","沙海龙","HunterSkill_166,1,HunterSkill_076,1","0,0,0"
"ARMOR_ID_0059","辟兽头盔","helm","使用辟兽素材制作的头部防具。头上狂野的装饰令见者心生动摇。","2","16","[-3,2,-1,-1,4]","辟兽","HunterSkill_175,1,HunterSkill_168,1,HunterSkill_099,1","0,0,0"
"ARMOR_ID_0060","辟兽铠甲","body","使用辟兽素材制作的身体防具。毛束经过仔细清洗与加工，拥有高防御力。","2","16","[-3,2,-1,-1,4]","辟兽","HunterSkill_175,1,HunterSkill_168,1,HunterSkill_099,1","0,0,0"
"ARMOR_ID_0061","辟兽腕甲","arm","使用辟兽素材制作的臂部防具。防具上装配了金属配件，仿佛用以压制其狂暴的力量。","2","16","[-3,2,-1,-1,4]","辟兽","HunterSkill_175,1,HunterSkill_168,1,HunterSkill_070,1","0,0,0"
"ARMOR_ID_0062","辟兽腰甲","waist","使用辟兽素材制作的腰部防具。束着兽毛的腰带在任何障碍面前都不会动摇。","2","16","[-3,2,-1,-1,4]","辟兽","HunterSkill_175,1,HunterSkill_168,1,HunterSkill_097,1","0,0,0"
"ARMOR_ID_0063","辟兽护腿","leg","使用辟兽素材制作的脚部防具。哪怕在沙尘肆虐的沙原中，也能毫无顾忌地纵横驰骋。","2","16","[-3,2,-1,-1,4]","辟兽","HunterSkill_175,1,HunterSkill_168,1,HunterSkill_099,1","0,0,0"
